STOPID,shape
5435,POINT (-122.451445 37.731615)
5568,POINT (-122.41818 37.74857)
6106,POINT (-122.451517 37.796482)
5930,POINT (-122.40088 37.7291)
6312,POINT (-122.40926 37.79305)
6043,POINT (-122.40797 37.76826)
4122,POINT (-122.397341 37.753902)
3158,POINT (-122.401333 37.782081)
7876,POINT (-122.408078 37.794807)
6154,POINT (-122.48881 37.74814)
5474,POINT (-122.437347 37.712457)
4729,POINT (-122.432185 37.805118)
5753,POINT (-122.496717 37.75343)
3802,POINT (-122.480035 37.72748)
5241,POINT (-122.397774 37.773318)
7902,POINT (-122.419984 37.745942)
7764,POINT (-122.390719 37.766765)
3733,POINT (-122.41041 37.76402)
3977,POINT (-122.43028 37.73548)
3725,POINT (-122.402231 37.776157)
4320,POINT (-122.434465 37.755955)
6993,POINT (-122.459192 37.74817)
4424,POINT (-122.4371 37.77105)
3616,POINT (-122.433609 37.740001)
4895,POINT (-122.415534 37.706939)
5428,POINT (-122.446474 37.731633)
4400,POINT (-122.43463 37.7388)
3209,POINT (-122.414597 37.778498)
5545,POINT (-122.417292 37.774306)
3628,POINT (-122.469458 37.710359)
3920,POINT (-122.38354 37.73573)
6446,POINT (-122.499294 37.734567)
8161,POINT (-122.422289 37.711331)
6167,POINT (-122.507 37.74734)
6714,POINT (-122.451699 37.778093)
5196,POINT (-122.469526 37.761988)
4878,POINT (-122.461346 37.751119)
7992,POINT (-122.392294 37.78981)
7145,POINT (-122.387977 37.784627)
3670,POINT (-122.377402 37.82695)
6262,POINT (-122.447196 37.720096)
4270,POINT (-122.484562 37.780077)
4723,POINT (-122.396451 37.79038)
3223,POINT (-122.465689 37.756508)
6317,POINT (-122.42227 37.79141)
3730,POINT (-122.4104 37.76549)
5425,POINT (-122.442133 37.731508)
5848,POINT (-122.411814 37.796209)
7622,POINT (-122.398524 37.776244)
4951,POINT (-122.436743 37.771231)
3775,POINT (-122.40588 37.73488)
6222,POINT (-122.426867 37.757239)
6628,POINT (-122.489505 37.742491)
5094,POINT (-122.40373 37.73879)
7874,POINT (-122.406523 37.787133)
5577,POINT (-122.423871 37.738867)
4605,POINT (-122.434878 37.793805)
6410,POINT (-122.428789 37.728473)
3425,POINT (-122.480268 37.763679)
3065,POINT (-122.50362 37.775484)
5669,POINT (-122.396178 37.793473)
3962,POINT (-122.432435 37.709834)
4633,POINT (-122.432627 37.783193)
4652,POINT (-122.448788 37.732989)
4784,POINT (-122.388272 37.718234)
5297,POINT (-122.461887 37.766047)
6114,POINT (-122.45524 37.74287)
5044,POINT (-122.37991 37.732497)
4606,POINT (-122.437127 37.804423)
3398,POINT (-122.47531 37.739546)
3888,POINT (-122.420541 37.790661)
5274,POINT (-122.435878 37.799818)
3328,POINT (-122.44349 37.76024)
5103,POINT (-122.377229 37.732915)
6851,POINT (-122.40827 37.71147)
4098,POINT (-122.44978 37.76462)
4535,POINT (-122.438188 37.760631)
4177,POINT (-122.44328 37.75641)
4742,POINT (-122.476776 37.772959)
6280,POINT (-122.42432 37.739385)
6588,POINT (-122.429608 37.786502)
5156,POINT (-122.411712 37.79545)
4856,POINT (-122.46793 37.7584)
3391,POINT (-122.474974 37.734717)
5249,POINT (-122.456407 37.743999)
4259,POINT (-122.467644 37.780982)
5462,POINT (-122.4079 37.80735)
5172,POINT (-122.451273 37.728287)
5291,POINT (-122.44935 37.72163)
6002,POINT (-122.42021 37.787663)
4488,POINT (-122.435709 37.780929)
7687,POINT (-122.460947 37.762522)
